Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
PSX,Phillips 66,25-Oct-19,19-Sep,2.6,3.11,0.51,19.6
AES,AES Corp,6-Nov-19,19-Sep,0.4,0.48,0.08,20
LEN,Lennar Corp.,2-Oct-19,19-Aug,1.32,1.59,0.27,20.4
MRK,Merck & Co.,29-Oct-19,19-Sep,1.25,1.51,0.26,20.8
NKE,Nike,24-Sep-19,19-Aug,0.71,0.86,0.15,21.1
NLSN,Nielsen Holdings,7-Nov-19,19-Sep,0.42,0.51,0.09,21.4
CTXS,Citrix Systems,24-Oct-19,19-Sep,1.24,1.52,0.28,22.5
IVZ,Invesco Ltd.,23-Oct-19,19-Sep,0.57,0.7,0.13,22.8
CNP,CenterPoint Energy,7-Nov-19,19-Sep,0.43,0.53,0.1,23.2
DVA,DaVita Inc.,5-Nov-19,19-Sep,1.23,1.53,0.3,24.3
JWN,Nordstrom,21-Nov-19,19-Oct,0.65,0.81,0.16,24.6
GE,General Electric,30-Oct-19,19-Sep,0.12,0.15,0.03,25
MPC,Marathon Petroleum,31-Oct-19,19-Sep,1.3,1.63,0.33,25.3
WDC,Western Digital,30-Oct-19,19-Sep,0.27,0.34,0.07,25.9
INCY,Incyte,29-Oct-19,19-Sep,0.65,0.82,0.17,26.1
DOW,Dow Inc.,24-Oct-19,19-Sep,0.72,0.91,0.19,26.3
XRX,Xerox,29-Oct-19,19-Sep,0.85,1.08,0.23,27
WRB,W. R. Berkley Corporation,22-Oct-19,19-Sep,0.66,0.84,0.18,27.2
UAA,Under Armour Class A,4-Nov-19,19-Sep,0.18,0.23,0.05,27.7
ATVI,Activision Blizzard,7-Nov-19,19-Sep,0.25,0.32,0.07,28
KHC,Kraft Heinz Co,31-Oct-19,19-Sep,0.53,0.69,0.16,30.1
NWL,Newell Brands,1-Nov-19,19-Sep,0.56,0.73,0.17,30.3
F,Ford Motor,23-Oct-19,19-Sep,0.26,0.34,0.08,30.7
GRMN,Garmin Ltd.,30-Oct-19,19-Sep,0.94,1.27,0.33,35.1
DVN,Devon Energy,5-Nov-19,19-Sep,0.19,0.26,0.07,36.8
ILMN,Illumina Inc,24-Oct-19,19-Sep,1.4,1.93,0.53,37.8
NFLX,Netflix Inc.,16-Oct-19,19-Sep,1.05,1.47,0.42,40
GM,General Motors,29-Oct-19,19-Sep,1.18,1.72,0.54,45.7
IT,Gartner Inc,31-Oct-19,19-Sep,0.45,0.7,0.25,55.5
INTU,Intuit Inc.,21-Nov-19,19-Oct,0.26,0.41,0.15,57.6
HP,Helmerich & Payne,14-Nov-19,19-Sep,0.24,0.39,0.15,62.5
RE,Everest Re Group Ltd.,28-Oct-19,19-Sep,2.07,3.39,1.32,63.7
DRE,Duke Realty Corp,30-Oct-19,19-Sep,0.37,0.62,0.25,67.5
MRO,Marathon Oil Corp.,6-Nov-19,19-Sep,0.04,0.14,0.1,250
